"ind","sex","pop","type","cs"
"117",117,"m","e","U",3.16131758064164
"118",118,"f","e","U",3.03266281943481
"119",119,"f","e","U",3.01007844239796
"120",120,"f","e","U",2.83489857953442
"121",121,"f","e","U",2.90977234545029
"122",122,"f","e","U",3.00054654492608
"123",123,"m","e","U",3.1717734974563
"124",124,"m","e","U",2.78730941801325
"125",125,"m","e","U",3.0548308500994
"126",126,"m","e","U",3.06536171917456
"127",127,"m","e","U",3.04840056094056
"128",128,"m","e","U",3.07984619709378
"129",129,"f","e","U",2.82971913297027
"130",130,"f","e","U",2.91961103264828
"131",131,"f","e","U",2.92281535448426
"132",132,"f","e","U",2.97918531024598
"133",133,"m","e","U",3.03426888645842
"134",134,"f","e","U",2.81124410247874
"135",135,"m","e","U",3.18139019945206
"136",136,"f","e","U",2.86313265255311
"137",137,"f","e","U",2.93578224770787
"138",138,"f","k","R",3.04768344757587
"139",139,"f","k","R",2.95977110649318
"140",140,"f","k","R",2.98804246773729
"141",141,"f","k","R",2.89349810868023
"142",142,"f","k","R",2.81590709692748
"143",143,"f","k","R",2.94210114486978
"144",144,"f","k","R",3.18832859667376
"145",145,"f","k","R",3.14882134116084
"146",146,"f","k","R",3.09224595717058
"147",147,"f","k","R",3.16487384593754
"148",148,"f","k","R",3.09788459107208
"149",149,"f","k","R",3.15551074183243
"150",150,"f","k","R",3.17786135777139
"151",151,"f","k","R",3.14237599158358
"152",152,"f","k","R",3.18846632221194
"153",153,"f","k","R",3.03769878883544
"154",154,"f","k","R",3.05188304705864
"155",155,"m","k","R",3.33789591014337
"156",156,"m","k","R",3.35462235734519
"157",157,"m","k","R",3.37555180939821
"158",158,"m","k","R",3.30983908338169
"159",159,"m","k","R",3.31360577558778
"160",160,"f","k","R",3.24523211678547
"161",161,"m","k","R",3.20094323577334
"162",162,"m","k","R",3.2168070697835
"163",163,"m","k","R",3.26632296253022
"164",164,"m","k","R",3.06011293627652
"165",165,"m","k","R",3.17481683760387
"166",166,"m","k","R",3.21896518042471
"167",167,"m","k","R",3.1232154650387
"168",168,"f","k","R",3.27705249125336
"169",169,"m","k","R",3.09130666827716
"170",170,"f","m","U",2.84109858209305
"171",171,"f","m","U",2.98279177687925
"172",172,"f","m","U",3.01411928817498
"173",173,"m","m","U",3.17928318124623
"174",174,"m","m","U",3.25015841817553
"175",175,"f","m","U",3.22682133436678
"176",176,"m","m","U",3.28753329976576
"177",177,"f","m","U",3.1438349966535
"178",178,"f","m","U",2.87503214836898
"179",179,"f","m","U",3.03126874224039
"180",180,"f","m","U",3.24975670187949
"181",181,"f","m","U",2.94299243860814
"182",182,"m","m","U",3.09921593590233
"183",183,"f","m","U",3.16775936982458
"184",184,"m","m","U",3.20154469547362
"185",185,"f","m","U",3.05170835147044
"186",186,"m","m","U",3.20255053271846
"187",187,"m","m","U",3.18789254666188
"188",188,"m","m","U",3.00499662345788
"189",189,"m","m","U",3.18791015207073
"190",190,"m","m","U",3.17325803726704
"191",191,"f","m","U",3.06681020217787
"192",192,"m","m","U",2.9206040908864
"193",193,"m","m","U",3.19720281080126
"194",194,"m","m","U",3.04686277765943
"195",195,"m","m","U",3.0210476715966
"196",196,"m","m","U",3.10906123256814
"197",197,"m","m","U",2.94476114904968
"198",198,"f","m","U",3.04742530005967
"199",199,"m","m","U",3.25748752087329
"200",200,"f","m","U",3.14148514319607
"201",201,"f","m","U",3.1661186163367
"202",202,"f","m","U",3.18918981452136
"203",203,"f","m","U",3.18841885070627
"204",204,"m","m","U",3.18301933594197
"205",205,"f","ni","U",3.04395574871378
"206",206,"f","ni","U",2.9872094384734
"207",207,"m","ni","U",3.21544457176292
"208",208,"f","ni","U",3.20414800670015
"209",209,"m","ni","U",3.2282406652875
"210",210,"f","ni","U",2.98188191629745
"211",211,"f","ni","U",2.88887810801389
"212",212,"f","ni","U",2.99032519731128
"213",213,"m","ni","U",3.22081300570387
"214",214,"f","ni","U",3.02849496455248
"215",215,"f","ni","U",3.06629232968791
"216",216,"f","ni","U",3.14333419242939
"217",217,"f","ni","U",2.95260907179403
"218",218,"m","ni","U",3.07710152712899
"219",219,"f","ni","U",2.90513452890225
"220",220,"f","ni","U",2.98004883677009
"221",221,"f","ni","U",3.18436462613435
"222",222,"f","ni","U",2.98513212487109
"223",223,"m","ni","U",3.18460031872989
"224",224,"f","ni","U",3.03693537413917
"225",225,"f","ni","U",3.05709112039201
"226",226,"f","ni","U",2.93468562541343
"227",227,"m","ni","U",3.2303469651502
"228",228,"m","ni","U",3.16613120041757
"229",229,"f","ni","U",2.84858607077084
"230",230,"m","ni","U",3.17791979883584
"231",231,"m","ni","U",3.11457158012837
"232",232,"f","ni","U",3.00173189659634
"233",233,"f","ni","U",2.94539431460665
"234",234,"m","ni","U",3.16492790504203
"235",235,"m","ni","U",3.18012538861871
"236",236,"f","ni","U",3.02996558859932
"237",237,"f","ni","U",2.95691641612002
"238",238,"m","ni","U",3.20185964015119
"239",239,"f","ni","U",2.86965274395052
"240",240,"m","ni","U",3.14546699747322
"241",241,"m","ni","U",3.12094987201768
"242",242,"f","p","U",2.93961093587429
"243",243,"f","p","U",2.99478299946138
"244",244,"m","p","U",3.15165554182111
"245",245,"m","p","U",2.97981181434272
"246",246,"f","p","U",2.97658831214056
"247",247,"m","p","U",3.1295934148884
"248",248,"f","p","U",3.01284598405415
"249",249,"f","p","U",2.95216091556821
"250",250,"f","p","U",3.0161164745922
"251",251,"m","p","U",3.14738359374994
"252",252,"f","p","U",2.9231160030721
"253",253,"m","p","U",3.21171051564268
"254",254,"f","p","U",2.99992864761963
"255",255,"f","p","U",2.9728082625529
"256",256,"f","p","U",2.91853153184721
"257",257,"f","p","U",2.91976117100865
"258",258,"m","p","U",3.14779634363811
"259",259,"m","p","U",3.11052916325165
"260",260,"f","p","U",2.94615915818985
"261",261,"m","p","U",3.05757778547551
"262",262,"f","p","U",2.92086351326874
"263",263,"f","p","U",2.99935656283596
"264",264,"m","p","U",3.18778199562868
"265",265,"m","p","U",2.96855416609721
"266",266,"m","p","U",2.97340253091146
"267",267,"f","p","U",2.93607678233906
"268",268,"f","p","U",2.93564303493652
"269",269,"f","p","U",2.99948979684331
"270",270,"m","p","U",3.11397980942762
"271",271,"m","p","U",3.11587166557426
"272",272,"m","p","U",3.10497285816504
"273",273,"m","p","U",3.03000045566081
"274",274,"m","p","U",3.10896534660909
"275",275,"f","p","U",2.82339961342891
"276",276,"f","p","U",2.90307010470035
"277",277,"m","p","U",3.14933903014273
"278",278,"f","p","U",3.08191897563061
"279",279,"m","p","U",3.0766810951456
"280",280,"f","p","U",2.88525328237229
"281",281,"f","p","U",2.92868183893879
"282",282,"f","p","U",2.93296983191434
"283",283,"m","s","R",2.93343001262048
"284",284,"f","s","R",3.04010192775236
"285",285,"m","s","R",3.15221759226781
"286",286,"f","s","R",2.80545275938306
"287",287,"m","s","R",3.05693609097419
"288",288,"f","s","R",3.02804475552735
"289",289,"f","s","R",2.8840567035226
"290",290,"f","s","R",2.8938263181147
"291",291,"f","s","R",2.97643726989351
"292",292,"m","s","R",2.98522731460516
"293",293,"m","s","R",2.85957585638778
"294",294,"m","s","R",3.1478897577396
"295",295,"f","s","R",2.98001228678961
"296",296,"f","s","R",3.01370579979363
"297",297,"m","s","R",3.11954875193078
"298",298,"f","s","R",2.93358411596507
"299",299,"f","s","R",2.95333696295155
"300",300,"f","s","R",2.86983217328863
"301",301,"f","s","R",2.98099904948248
"302",302,"f","s","R",3.07936222897515
"303",303,"f","s","R",3.02283392117515
"304",304,"f","s","R",2.98985516542403
"305",305,"f","s","R",3.14547023569018
"306",306,"m","s","R",3.1732880194476
"307",307,"m","s","R",3.10255731705611
"308",308,"m","s","R",3.03585739282053
"309",309,"m","s","R",3.13022124903099
"310",310,"m","s","R",3.06734206256836
"311",311,"m","s","R",3.03837166653275
"312",312,"m","s","R",3.07518793370142
"313",313,"m","s","R",2.96927369860222
"314",314,"f","s","R",2.95282898756271
"315",315,"m","s","R",3.01233014809449
"316",316,"m","s","R",3.16726125106797
"317",317,"f","s","R",3.05973941403085
"318",318,"m","s","R",3.15040738744574
"319",319,"m","s","R",3.02881585119523
"320",320,"m","s","R",3.24860023001189
"321",321,"m","s","R",2.99371914755116
"322",322,"m","x","R",3.20255051484363
"323",323,"m","x","R",3.20103353960108
"324",324,"m","x","R",3.21761145676721
"325",325,"m","x","R",3.31673427218325
"326",326,"m","x","R",3.18084506365803
"327",327,"m","x","R",3.27683432993787
"328",328,"m","x","R",3.14615499165556
"329",329,"m","x","R",3.24266116933337
"330",330,"m","x","R",3.29071216129639
"331",331,"m","x","R",3.35136432292756
"332",332,"m","x","R",3.12312568435904
"333",333,"f","x","R",3.11909785420045
"334",334,"f","x","R",3.08353205950515
"335",335,"f","x","R",3.23763895712047
"336",336,"f","x","R",3.1662953122975
"337",337,"f","x","R",2.98522411768862
"338",338,"f","x","R",3.05779043859726
"339",339,"f","x","R",3.06891530610112
"340",340,"f","x","R",3.07655893047515
"341",341,"f","x","R",3.15493256259852
"342",342,"m","x","R",3.23563279561896
"343",343,"f","x","R",3.04647399526999
"344",344,"f","x","R",3.05011191709589
"345",345,"f","x","R",3.08481189114657
"346",346,"f","x","R",3.09722561194902
"347",347,"f","x","R",3.11862025432777
"348",348,"f","x","R",3.13613948499224
"349",349,"f","x","R",3.09170754289204
"350",350,"f","x","R",3.0201230872562
"351",351,"f","x","R",2.98218072949861
"352",352,"f","x","R",3.13063951512142
"353",353,"f","x","R",3.20549435686843
"354",354,"m","x","R",3.35848926615761
"355",355,"m","x","R",3.21644558557671
"356",356,"m","x","R",3.30598242460913
"357",357,"m","x","R",3.30245330785928
"358",358,"m","x","R",3.27126087380744
"359",359,"m","x","R",3.28993107748793
